,Comments
274,"Darren Hilton
1 day ago
This was extra informative. Thank you for doing your homework.
REPLY"
275,"Hassan Ally
3 days ago
Cristal Clear explanation of what is the motive behind this invasion, may Allah protect people of Ukraine
REPLY"
276,"Larry Wallace
1 day ago
Thank you for this concise explanation.
REPLY"
277,"allgoo 19
2 days ago (edited)
I first found out the feud between them in the movie ""Hunt for Red October"".

Otherwise, I know nothing about them.
This helped.
REPLY"
278,"kathrynsview
7 days ago
Thank you Palki, if only there were many more journalist's like yourself to give the world a clear image of what is really happening in our world, to understand. No one is ever a winner when it comes to war.
540
REPLY"
279,"Rifga Rasheed
1 day ago
This is a great explanation, thank you! Would appreciate if you could go a bit slower next time.
REPLY"
280,"Mike Hermo
5 days ago
It’s amazing that every point that she concisely summarizes could be an entire history book in itself. Things aren’t ever as simple as they seem.
451
REPLY"
281,"Wairua Tapu
3 days ago
What an awesome history lesson!
REPLY"
282,"aNgEl6FrOm6HeLL6
3 days ago
Goddamn. You hit the nail on the head every time. I love that last line🤣
REPLY"
283,"Kaylee Taylor
2 days ago
""past imperialism cannot justify present-day expansionism""
REPLY"
284,"Me-ann Ang Lakwatserang Dora
3 days ago
Just wow!!! Miss Palki your so great at telling history... Hands up🙌 since pandemic started following your news... So great to found this wion...
REPLY"
285,"imi250
3 days ago
Amazing!!! Can we have a similar one on Hungary, please? With going into details into the Treaty of Trianon especially?
REPLY"
286,"muskan rath
6 days ago
""Past-Imperialism can not justify Present-day Expansionism"" -- by Palki
This is so true. Thanks for the insight Palki. The video was very informative and useful.
895
REPLY"
287,"Polly Goat-Nutz
2 days ago
I'm in my late 50's/American,....i just got my first history-lesson about the Ukraine,.....*Thankyou*.
2
REPLY"
288,"Terry Arndt
3 days ago
Great presentation…very interesting history lesson…
REPLY"
289,"Lord Kodi
2 days ago
I've learn so much here than the media telling me to ""pray"" for. I need facts not to close my hands together. How is praying for a country going to tell me the facts I need to understand the situation. Thank you WION
REPLY"
290,"Miles Tolentino
3 days ago
She deserves to be given an award  as the BEST journalist of 2022...
1
REPLY"
291,"Sri Sri
12 hours ago
Wow Ms. Upadyay this is the most fluent, accurate explanation.
REPLY"
292,"Aaron
10 days ago
Such detailed analysis. I'm always astonished by Palki's anchoring and their team researches. Great report as always. Proud to have you as our anchorwoman. Keep up.
569
REPLY"
293,"ChiTown Toy
3 days ago
Excellent explanation! Thank you!
REPLY"
294,"Mychal Sims
2 days ago
Well done, informative and educational!
REPLY"
295,"TorQueSS J
14 hours ago
That was the best news cast I’ve ever seen, love from Canada!
REPLY"
296,"onkar ghadi
1 day ago
No shouting No Screaming No Exclusive Shit, just pure information & news♥️
Day by Day I am becoming fan of this channel and yes Anchor too 🌸
Sensible Media ❤️
REPLY"
297,"Mickey Mouse
3 days ago
Maybe the best solution would be to do a vote in the 2 regions that seem to want to rejoin Russia although it’s hard to say whether the vote would be legit or rigged.
REPLY"
298,"Kamura 777
7 days ago
""Past imperialism cannot justify present expansion"". My favorite statement I've heard today. It should be the slogan for all Eastern European countries .
165
REPLY"
299,"Beverly McFadden
3 days ago
Let Ukraine 🇺🇦 be independent from Russia period. It's that simple leave them be at peace and peaceful. 😊
2
REPLY"
300,"SAGirl_101
9 days ago
Outstanding, concise report. I don’t watch the news but kept seeing this on Twitter and wanted a detailed, yet short video explaining this. Thank you!
222
REPLY"
301,"Susie Ove
13 hours ago
I was thinking why they are at war but now I know.Thankyou for the amazing information.God bless you
REPLY"
302,"Kamelhaj
3 days ago
Great presentation! Why can't we have news like this in the US?
REPLY"
303,"sunny
14 hours ago
She didn't happen to mention the US wanting to put missile weapon systems on Russia's border.
REPLY"
304,"Marc Aslam
3 days ago
Beautiful explanation but you again neglected to mention NATO tightening their grip on Russian borders and sending more and more troops,  essentially chokeholding Russia. Putin is not wrong by trying to be proactive but unfortunately, it comes at the cost of human lives,.
REPLY"
305,"Namusisi Scovia
3 days ago
Clear explanation,this shows that alot is hidden in history
REPLY"
306,"Olexandr
9 days ago (edited)
Palki Sharma Upadhyay, thank you for acknowledging that claiming Ukraine based on colonial history is wrong as it would be wrong to likewise claim India by the UK. Brought me to tears. I am grateful you and your organization for expressing solidarity by using such an analogy.
118
REPLY"
307,"Number 7
3 days ago
Again, this is why I love Wion. On point and spit facts
REPLY"
308,"Vanojoh
3 days ago (edited)
That was absolutely excellent. Good work, lady!👋
REPLY"
309,"R S
2 days ago
liked and subscribed.... concise and clear overview in under 10mins. thanks
REPLY"
310,"JohnGilfer Cawaling
3 days ago
Well explained 👌👏👏👏 thank you for another information.
REPLY"
311,"Αθανάσιος ΚΥΡΙΑΚΟΠΟΥΛΟΣ
2 days ago
Why Russia wants Ukraine is like saying why India wants Varanasi. Ukraine is a Soviet construct, not a product of a revolution like other countries. It includes the east part which is the cradle of Russian civilization with people who feel more Russian than Ukrainian and see Ukraine as a part of Russia, and the west part, which was part of Poland and Austria and even collaborated with the Nazis to fight Russia. Ukraine means margin (of Russia). When a Russian says I'm going to Ukraine, he says I'm going to the extreme part of Russia.
Read more
3
REPLY"
312,"TheTexasmick
8 days ago
Man, this lady can tell it as it really is. I've heard a lot about Russia's opinion, but this is the FIRST time I've actually heard the hard TRUTH about the Ukrainian opinion. Thank you for this up-to-date analysis of current events.
1.1K
REPLY"
313,"Jydy Myyyr
3 days ago
Thank you for the history lesson.
REPLY"
314,"daniel adejoh
1 day ago
I love this channel, keep up the good job.
REPLY"
315,"2choosewisely2
3 days ago
does putin 'want' something that already belongs to russia? or rather: why does the ukrain 'not want' to be part of russian heritage? why is the ukraine trying to secede from russia? did russia 'mistreat' them as a nation?
REPLY"
316,"Ayesha Naeem
3 days ago
By far the best articulated video. Much needed for clarity 👍 love the way she speaks
REPLY"
317,"MultiSoulcollector
2 days ago
Thank you for a very informative an thought provoking news cast. Makes you wonder why we haven't seen this type of investigative reporting on FOX or CNN. You are AWESOME !!!! You should train the AMERICAN news cast.
REPLY"
318,"Bill Johnson
10 days ago
I always appreciate Wion's broadcasts.  Well-prepared presentations, presented by a world class anchorwoman.  I learned so much about Ukraine and Russia in this brief broadcast.  Keep up the great work!  It is so nice to have access to such great reporting and analysis.
348
REPLY"
319,"Abdallah Babwoya
3 days ago
It is a good analysis.A lot of appreciation for the nice work.
REPLY"
320,"Earnestine Weems
4 days ago (edited)
You did an excellent job explaining the root of all this confusion. Well, I'm confused 😕 USA citizen. But my prayers are with those who's being affected by this war. Praying for Peace
69
REPLY"
321,"Vincent Budna
2 days ago
This is the kind of Transparent that explains matters clearly thanks for the update bless
REPLY"
322,"Erica Miranda
3 days ago
Very good explanation in.sort time very clear about facts and history. I see that Ukraine is very rich country and must be independent of course...Pray for Ukrainians
REPLY"
323,"4XI
1 day ago
thanks this actually gave me an idea why there is a war
1
REPLY"
324,"Simon Lee
1 day ago
Great history lesson. Great closing line.
REPLY"
325,"Playstation Portal
19 hours ago
Excellent historical analysis. However I believe Russia invaded the Ukraine to completely own the new oil deposits found in the Black Sea that is estimated to be the fourth largest deposit in the world. Plus natural gas deposits on the left and right of the country, which if tapped and sold to Europe would bankrupt Russia. (30% GDP is from oil and natural gas exports)
Read more
1
REPLY"
326,"Majo Monster
7 days ago
I have never seen this type of journalism. It looks like the journalism that they taught us in school. The good journalism. Thank you for your hard and honest work.
372
REPLY"
327,"Moin Maple
1 day ago
I lover her strong command over english and to top it all her style of presenting and choice of phrases👏💪
REPLY"
328,"Maros Molnar
2 days ago
Lot of history but you kind of neglected Russia's dependency on oil and recent findings of oil/gas locations in Ukraine(two of which are Dombas and Crimea areas.
REPLY"
329,"Anthony Verreos
2 days ago
Palki Sharma Upadhyay is super bright, but not always unbiased in her presentation.

The ourstory Palki presents is accurate, and enlightening.  
Her facts and figures sound correct.
Read more
REPLY"
330,"D Hall
3 days ago
Thank you for your comprehensive report!
REPLY"
331,"Sanjellmilee 23
2 days ago
Thank you for reporting this kind of news. Glad I came across this video
REPLY"
332,"Krishna Rao Colluru
7 days ago
One sentence sums it up all: ""Past Imperialism doesn't justify the present Expansionism."" A concise yet meaningful exposition. A bird's eye view of History, political canvas and ground reality woven together.
187
REPLY"
333,"Kylie Turner
2 days ago
Brilliant, succinct and informative. I wish all news was this good. Thankyou
1
REPLY"
334,"S Gomez
3 days ago (edited)
Very well done!! Thank you! 🙏
REPLY"
335,"George James Ducas
2 days ago
The Rus were Viking tribes that settled in Kiev as far back as 750 AD, 400 years before Moskva existed. Moskva were Finnish Urgic Tribes; Mosk means cow and Va water, which are Finnish names. There is no RUS there. The ethnic background of Moskva is Finnish- Urgic and Mongolian. The Rus developed the religion, city Kiev, alphabet, and had its saints. They spread Kievian culture  much like the Greeks Hellenized the known world, or like the British anglicized the world by the English language. This process does not make Moskva to become RUS in as much as Persian are not Greek. How we are misled by a name; Russia. The capitol of the RUS has always been Kiev. There is no other RUS and no RUS in Moskva. Many say Ukraine began recently; but the culture of the RUS is Kievian RUS, both culture and ethnic background. Ukraine is a name given by Poland meaning outer lands. The lands of the RUS before the Mongolian invasion was very large. The name RUS is a Norse name which means men that row; there are no men that row in Moskva. So Moskva adopted the name Russia while being a Mongolian vassal, essentially traitor to the RUS; and all the czars were Mongolian-Finnish. The Culture  of the Mongolian was centralized power, and that was passed on to present day Russia. Ukraine’s real name should be Kievian RUS, or Kievskarus!
Read more
REPLY"
336,"Svein Farstad
2 days ago
Absolutely correct! Thanks for this video!
REPLY"
337,"tsungai madondo
2 days ago
Thank you for the useful information on Ukraine and Russia
REPLY"
338,"Olga Jaworska
11 days ago
as a ukrainian, very accurate. well done
177
REPLY"
339,"Chamak Cosmetics & Chocolates
3 days ago
Very well explained and succinct 👏🏼👏🏼👏🏼
REPLY"
340,"Violetta Pioro
6 days ago
Thank you so much! Thus is a actually the most accurate depiction of the conflict. I speak both Russian and Ukrainian and was born and raised in Kiev 🇺🇦 until coming to Canada. I habe family on both sides Russia and Ukraine. And have been researching the most accurate information for my friends here who do not speak the language and can't actually listen to Russian news, Ukrainian news, as well as US mainstream and non mainstream Ukrainian vloggers. Thank you for bringing this information forward with such accuracy and unbiased integrity. 🙏  Great video. 👍
Read more
134
REPLY"
341,"DS
3 days ago (edited)
Some bias detected otherwise a good explanation. At 7:27, Britain and Spain's past imperialism comparison to the existing Russia-Ukraine conflict seem a little off. These nations colonize the OTHER side of the world while Russia-Ukraine are close in proximity, and have parallel culture and history together. 30% Ukrainians speak Russian. Not quite an equal comparison. Regardless, hope both nations will seek peace and respect each other's sovereignty. No to War and No to Suffering
Read more
REPLY"
342,"Nithu Mohan
1 day ago
'He does not realise.... The world has moved on'🔥🔥🔥🔥🔥🔥 Awesome.....can feel the power in the words.... 🔥🔥🔥🔥🔥🔥
REPLY"
343,"paul crawford
1 day ago
if a leader cannot attend his daughters accident you are jumping to conclusions to say he was not appropriately concerned.. he might have been trying to serve his country.... I am not saying he was.. I am just saying you are going beyond being objective
1
REPLY"
344,"Saniya Mapari
2 days ago
The world has moved on and so should Mr.Putin
1
REPLY"
345,"Adel Chehri
2 days ago
Excellent job!!! less than 10 minutes very informative topic… way better than the so called “news”
REPLY"
346,"Ramone
8 days ago
“He has not realized the world has moved on!” Right on the spot - great video to help us understand more what’s going on
124
REPLY"
347,"Mceleni Maphem
2 days ago
This is well presented, thank you
REPLY"
348,"Alan Loo
12 hours ago
Great unbiased coverage
2
REPLY"
349,"Richard Holler
2 days ago
If I were your dissertation advisor, I’d throw your PhD before you can stand up. Broad, specific, and very comprehensive!
REPLY"
350,"down to earth
1 day ago
Thankyou for the history lesson.  Yes the world has moved on.
REPLY"
351,"Garrett Puchalski
19 hours ago
Fantastic explanation, thank you
REPLY"
352,"Rizazo
7 days ago (edited)
This was one of the best presentation by a journalist of the history of the conflict that is now unfolding in front of the worlds eyes. Wish our western journalist would be more like this. Peace and god bless all the slavic and orthodox brothers and sisters
694
REPLY"
353,"Dan Ilie Doina
3 days ago
Just because they are both sovereign countries doesn't mean they are that different. It is like what the USA is to the UK. The Ukrainian language is just broken Russian, and ethinicity-wise, they are basically the same. They just took different paths on the course of history.
REPLY"
354,"Beeyella Network
1 day ago
Thank you for being a journalist. It's crazy I have to say that. In the West, Journalism is dead. What's left is disgraceful pretenders.
REPLY"
355,"Cornelius Charles
2 days ago
Well done. Thanks for explaining this
REPLY"
356,"Tanushree Mandal
5 hours ago
While praying for the Ukrainian civilians, also keep in your prayers the people of Independent Republics  of Donbass region, who have been mercilessly and brutally killed for the past decade by Ukrainian neo-n@zis supported and backed by the current Ukraine government. 
Peace be upon all, amen. 🙏🏾
1
REPLY"
357,"Benjamin H.
2 days ago
For once, clear und understandable, thank you.
REPLY"
358,"Jason Hite
7 days ago
Smart lady. Simple yet thorough explanation. That last line! she's a boss.
""He does not realize, the world has moved on""
408
REPLY"
359,"All ROUNDER
3 days ago
I want this reporter as a history teacher😅 .prayers for Ukraine 🙏
REPLY"
360,"Frozengrudge
7 days ago (edited)
Ever since the start of Covid pandemic, I’ve been following this exceptional journalist and her analytical reports. She far outclasses her international counterparts. She simply deserves  a Nobel Peace Prize as an investigative journalist.
105
REPLY"
361,"ADEGBEYE KAYODE & CO ADEGBEYE
1 day ago
This is the video the rest of the world needs to watch for perspective in the matter.
REPLY"
362,"KVALITY EDITS
2 days ago
I think Russians must also accept or they are accepting the fact that whatever Putin is doing is wrong in a sort .
1
REPLY"
363,"VINAY KUMAR H P Hp
2 days ago
For Communist countries waging war is like return to imperial state.. and for super power countries, war is business and test platform for thier ammunition... Happy we Indians don't claim Afghan to Combodia, say we ruled once.. Iive happy and let others to live the life they choose.
1
REPLY"
364,"Jason Erb
16 hours ago
Nord Stream 2 was sanctioned, and talks of Nord Stream 1 being sanctioned are said to be on the table.  Europe’s alternative GAS supply would come from Ukraine. Europe never had a problem with their GAS coming from Russia or they wouldn’t have allowed it to happen.  But the US seems to have a problem with it.  IMO Russia wants to secure the GAS export capabilities of Ukraine in the event Nord Stream 1 is shut down or limited.  
Read more
1
REPLY"
365,"Motivate Me
2 days ago
Last statement, ""He does not realize, the world moved on""
REPLY"
366,"Steven Edwards
4 days ago
That was refreshing. As an American, i can't recall ever seeing a news broadcast that dealt as frankly and clearly with a subject as what i just saw here
805
REPLY"
367,"A. G.
2 days ago
GREAT overview! Unexpectable for the Indian channel:) Thanks a lot, this is absolute truth!! And yes, Kyiv is much older than Moscow! You don't believe it? - Google!  Kyiv is almost 2000 years & Moscow 900 years. Same about languages - Ukrainian developed first (and it's proper Slavic language, were Russian - mixed with Asian words).
1
REPLY"
368,"Amit Chakraborty
2 days ago (edited)
fair points but would have liked more on Nato threat on Russia which is expanding very fast
REPLY"
369,"Eliseo Lujan
2 days ago
Very interesting information but it has a lot of flaws.



1. As she says it leaves out a lot of history and why RuSSian conquered Ukraine several times.
Read more
REPLY"
370,"Ashley Jefferson
3 days ago
Excellent journalistic reporting….very helpful explanation
REPLY"
371,"La Negra
2 days ago
I subscribed and clicked the notification bell. Your channel provides the best news!
1
REPLY"
372,"Garrick
4 days ago
This was explained so incredibly well.
124
REPLY"
373,"TheSecretVault
1 day ago
This was an excellent history digest. A++++
REPLY"
374,"Malvika
1 day ago
every second is just valuable and informative unlike other news channels
REPLY"
375,"Nathan Samuel
1 day ago
After hearing India on UN on the incident I had another Image of Indias views. I appreciate to see that I was mistaken when it comes to Indias media and people.
REPLY"
376,"Marleise Rashford
3 days ago
Great explanation. Thank you.
REPLY"
377,"Jojombo
3 days ago
If Ukraine joins the NATO, it will have to respect NATO rules. Meaning it will have to establish military base in the country, perhaps near russians borders when those opposed sides were in conflict for decencies if not centuries. Imagine having russian military bases on the border of mexico/usa or canada/usa.
REPLY"
378,"YouTubex
7 days ago
Excellent historical perspective.
""Those who cannot remember the past are condemned to repeat it.""
340
REPLY"
379,"charles mahoney
3 days ago
I don't seem to believe the news much anymore. but this woman I for some reason believe she is in charge of what she will say and that she speaks the truth  thank  you
REPLY"
0,"Ender Wiggin
11 days ago
Are we also going to use “every opportunity “ to avoid a USA vs Russia war? Because that’s far more important to avoid than a Russia vs Ukraine war.
238
REPLY"
1,"kiwilimew
11 days ago
He needs to send his children, and every other politicians children and family to prevent this. They love to risk the lives of Americans that they can’t even make sure they have roofs over their heads, healthcare and food.
130
REPLY"
2,"Steve Lee
11 days ago
Blinken is really brave. He could be proven to be the biggest LIAR of the century, and he keeps doubling down. Even after getting wrong on the 16th. What a brave man.
33
REPLY"
3,"Craig List
11 days ago
Will they use every opportunity to help those stuck in Afghanistan? I can't take any of their decisions seriously since they left citizens behind...
66
REPLY"
4,"Robert Purinton
11 days ago
I have come to expect that everything Blinken and his minions say you can expect the opposite out of them.
99
REPLY"
5,"playnite
11 days ago
I correct him:   ""The US will use every opportunity to make money in war"".
70
REPLY"
6,"Sebastian M.
11 days ago
Can’t believe anything out of this disastrous administration.
19
REPLY"
7,"FRISCO26
11 days ago
I feel like USA wants to be subbed in other than Ukraine at this point. I’ve always said why don’t our “leaders” just fight a one on one fight and see who’s the more of a man.
27
REPLY"
8,"Gilbert Christopher
10 days ago
The rich sees an economic crisis as a garage sale also the rich stays rich by investing and diversifying their portfolio with stocks, Crypto currency and Forex trading which is the wisest thing every individual needs to do and it's real profiting.
23
REPLY"
9,"NaturisticYT
8 days ago
I'll correct him, ""The US will use every opportunity to make US have a war.
4
REPLY"
10,"billy rubin
11 days ago
“We don’t threaten anyone.” Meanwhile, two Ukrainian soldiers were killed by Russian separatists.
9
REPLY"
11,"Kid Dynamite
11 days ago
We have plenty of problems in America let Ukrainian take care of them selves keep are troops here and safe
60
REPLY"
12,"North Maine Guy
11 days ago (edited)
""Every opportunity"" like you did in Afghanistan and 13 soldiers died?
98
REPLY"
13,"bobby
11 days ago
Watching Blinken talk is like trying to imagine the Washington Post publishing a truthful article.    It just simply can't be done, as the Post has ""died in darkness"".
8
REPLY"
14,"Ilect
11 days ago
just a reminder that back when the ukraine first became a country they made an agreement with russia that they would give russia back all of their nukes in turn for an agreement that the borders stay where they are, russia has already violated this once and it appears they are planning to violate it a second time
25
REPLY"
15,"bud o
11 days ago
What he saying is no matter how much taxpayers money we have to spend we're going to do it  don't worry about America's borders
14
REPLY"
16,"Alexandra Bauer
11 days ago
This administration with strength and vision will lead the way to a peaceful resolution.  Jen ""Pinocchio"" Psaki.
32
REPLY"
17,"Smith Gates
9 days ago
My consultant is Stephen Bernard halterbeck, I found him on a CNBC interview where he was featured and reached out to him afterwards.
He has been of immense help since then.
1
REPLY"
18,"Working Towards
11 days ago
The US needs to stay out and let eastern Europe figure this out.
32
REPLY"
19,"Pla Yer
11 days ago
NATO: Every country has a right to self determination and a right to defend itself from aggression from hostile external threats.
To be fair, If S/American countries ask Russia or China to set up military bases for security and protection, the US should also respect their choice. ️
REPLY"
20,"Alx Rayn
11 days ago
Title should say “US trying everything to insight Russian war”
44
REPLY"
21,"Leonardo James
9 days ago
My consultant is Stephen Bernard halterbeck, I found him on a CNBC interview where he was featured and reached out to him afterwards.
He has been of immense help since then.
REPLY"
22,"boy hoomba
11 days ago (edited)
This man has the greatest promotion inAmerican history from Kindergarteen teacher to a Defense Department head hahhahha. Just joking
43
REPLY"
23,"Gabriel Da Cruz
5 days ago
Never hire a guy for secretary of state of the United States if his last name is blinking cuz you know he's going to be doing a lot of blinking
REPLY"
24,"Gumpy of the Bubba
11 days ago
I am sure that Blinkin is driving hard for Hunter to get a board position on a Russian oligarch's company
47
REPLY"
25,"Steve Mcnally
11 days ago
Ok so how many countries has Russian invaded an attacked since the 80s? Then tell me how many usa has attacked since the 80s?
20
REPLY"
26,"Sky Patrol
11 days ago
How much military hardware we gonna leave Putin, joetato?
11
REPLY"
27,"house rental542
11 days ago
WaPo & Blinkin,  do two negatives cancel each other out and equal truth  or do we just sum the negatives for a larger lie?
2
REPLY"
28,"Cesar Molina
11 days ago
So we don't want anyone interfering with our elections, presidency campaign, network, our in-land income, beliefs etc... but it's ok to interfere with them? 

And it's very interesting how no other country has offered to come help us with our issues,  with South of the border.
Read more
31
REPLY"
29,"Emanuel Morales
11 days ago
If you really want to avoid the war, get the hell out of Ukraine and let lives matter to you instead of money
7
REPLY"
30,"Joey Kelly
11 days ago
Shouldn’t we be more concerned about keeping our own young men and women safe by pulling them out of eastern Europe? Let the EU take care of its own backyard. If Germany doesn’t want to participate, they’ll end up split in half again
1
REPLY"
31,"Evil Genius
5 days ago
We don't want to wait for tanks to be driving up in down cities in the US that's what. He really want so he has to be stoped .
1
REPLY"
32,"Mark Brown
11 days ago
WE DIDNT HAVE A PROBLEM WHEN SAUDI ARABIA ATTACKED YEMEN.  SAUDI ARABIA ATTACKED NEWYORK CITY, WE INVADED IRAQ.
9
REPLY"
33,"Jeff Nubreeze
10 days ago
""Rules for thee, but not for me""
What is the difference between the USA and Russia’s support for Separatist? NO difference!
The US supports Taiwan and HK separation while Russia supports Donetsk and Luhansk separation. 
Is the pot calling the kettle black?
1
REPLY"
34,"D. Clemons
11 days ago
This guy gets my vote of NO CONFIDENSE. FJB
10
REPLY"
35,"PC
11 days ago
Reporter “This isn’t a bluff?”
Answer “This isn’t a bluff, dddrrrrrr”
2
REPLY"
36,"JFomo
11 days ago
Never a dull day
16
REPLY"
37,"Amber Moore
11 days ago
Has everyone thought of what this world would be like if these crap heads in charge were gone now peace would spread with others being able to make unity instead of fear. Don’t ever let fear harbor your peace of mind it takes work to get there but the people deserve to be free not to be slaves
1
REPLY"
38,"Good Day
11 days ago
Don't believe everything you hear 
11
REPLY"
39,"Gemthetics
7 days ago
""Call on the Lord in the day of trouble,
and he will deliver you""
        -Psalm  50 :15
REPLY"
40,"Rob T
11 days ago
I remember when we illegally invaded Iraq 
Just as long as no other countries invade just America can
6
REPLY"
41,"東京都民（Tokyo）せたがや区民
10 days ago
South Korea's Daejeon District Court dismisses Mitsubishi's appeal dissatisfied with ""asset sale order""
A Korean district court filed an appeal against the order to sell assets by Japan's Mitsubishi Heavy Industries (hereinafter referred to as Mitsubishi), which turned its back on compensation for forced labor (recruitment) during the Japanese Emperor's occupation (colonial era by Japan). The fact that he rejected it became clear.
Read more
REPLY"
42,"Colleen Porter
11 days ago
Did anyone ever consider that Putin is just plain damn nuts?
2
REPLY"
43,"Nicko Setiawan
6 days ago
well the title is a bit wrong tho ""the U.s and NATO will seek every opportunity to gain profit from the ukraine-russia war even if the world is at stake""
REPLY"
44,"jeff strong
10 days ago
Russian tanks APC and military vehicles are using ""Z"" inside square to identify Russian equipment because they are using similar weapons.  Ukraine military should use same signs to confuse Russian military.  Young Russians will die for dictator.  They should fight for their freedom before fighting Ukraine.
REPLY"
45,"Tomas SoyWeyvon
11 days ago
Imagine this Blinkin guy as your teenager at home, I bet you'd slap him out of his chair if he came up with this Horse *hit for his excuse as to why the neighbors are burning a cross on your lawn
REPLY"
46,"John T Hay jr
11 days ago
As long as or southern border is wide open why would we care about some other country’s border
11
REPLY"
47,"Be Nice
11 days ago
""As they spread the propaganda of war, we must spread the propaganda of peace."" — Dr. Martin Luther King Jr.
33
REPLY"
48,"Patsy Lennon
11 days ago
I like that they would only meet with Lavorw if Russia does not invade.  Sounds a lot like: I won't date you unless you pay for dinner.
REPLY"
49,"B H
11 days ago
As I said American media always talk nonsense. Now what Putin and Macron having conservative talk mature talk. This is highly sensitive matter. US president simply can’t make assumptions based nothing.
2
REPLY"
50,"Strange Daze
11 days ago
Blinky says this, Blinky says that...every single day, Blinky says something! But oddly enough,
he never actually says ANYTHING!                                       FJB!
58
REPLY"
51,"CΣΠTURIΩΠ
9 days ago
Lol, like they did in Afghanistan? Running away like cowards hahaha
REPLY"
52,"ammodude12
11 days ago
How about using some of that energy for the Southern Border?
10
REPLY"
53,"Kanna Peruman
11 days ago
Remember, no men are strange, no countries foreign
Beneath all uniforms, a single body breathes
Like ours: the land our brothers walk upon
Is earth like this, in which we all shall lie. 
Read more
REPLY"
54,"Juan Montoya
11 days ago
Diplomatic topics proposed to President Zelenskyy by Vladimir Putin : 
1)Relinquishing Borscht as an Ukranian originated dish.
2)Abandon any shows with Joe Rogan and Dave Chapelle.
3)Surrendering Zelenskyy's granma recipe for Chicken Kiev.
REPLY"
55,"The Scope
11 days ago (edited)
America needs to mind their business this time. 
Let Russia and Ukraine sought out their differences. So to all the US troop being deployed there say no and stay home with your families who need you most to protect them during these dark times.
REPLY"
56,"Don't kill the beat
11 days ago
I've got a feeling that the DC is going to open up the selective service lottery
1
REPLY"
57,"SMC GPRA
8 days ago
NATO chief talks about NATO's allie's safeguarding fundamental right like that others also will think right, no hypocrisy
REPLY"
58,"Kolt Crutch
11 days ago
U.S. needs to mind it's own buisness,  if the politicians want to go to war, go down yourself
6
REPLY"
59,"정의훈
11 days ago
war is not a bad thing… it is a natural process in which we must welcome with glee
REPLY"
60,"Jeffery Toobin’s Penis
11 days ago
What about the war going on at the southern border of US?
13
REPLY"
61,"ClockworkGearhead
11 days ago
Not gonna lie, former Biden voter here. This is hilarious watching Biden crash and burn. But in all seriousness we can't let this guy get the nuclear codes.
9
REPLY"
62,"ssake1
11 days ago
Um, I think one guy does not have the right to wave his fist in another guy's face, even if he's standing on his side of the yard. Do these diplomats think everybody is stupid, or do they just say stupid things because they can?
REPLY"
63,"Nahom ENTERTAINMENT
11 days ago
Make love, not war...God bless Ukraine, Russia.....
1
REPLY"
64,"Jim Pack
11 days ago
Why don't we have sleepy Joe Biden put on a pair boxing gloves and meet Vladimir Putin behind the school gym to settle this confrontation that Joe and WAPO seem so eager to spark?
2
REPLY"
65,"Ronald Patton
11 days ago
And Biden allowed it to get this far.
1
REPLY"
66,"Barry Coates
11 days ago
You cant even run a lemonade stand.
8
REPLY"
67,"Joey Holthusen
11 days ago
10 percent for the big guy coming soon in kickbacks.
62
REPLY"
68,"niresh kumar
8 days ago
We miss you trumph If our thalaivan( leader) was there he won't let it happen.
REPLY"
69,"Joe Bertrand
11 days ago
I think maybe, kinda, just possibly, we might, or I believe that something or things and stuff might happen any day now.
REPLY"
70,"Waldemar Marchesi
11 days ago
If Biden wasn't in charge this wouldn't be an issue.
30
REPLY"
71,"RFXReign
11 days ago
Honestly I belive it's going to happen because NATO needs a purpose again because for a long while now they have been just a name but this could be how NATO revamps the name again on what there purpose is. NATO is not the United Nations there two different things.
REPLY"
72,"anonymous
11 days ago
Worry about our border first. America first always
4
REPLY"
73,"jay mudd
11 days ago
Send Austin there with Mask and Shield, he's sure to make the Russians Yield
REPLY"
74,"William Murray
11 days ago
Evacuation of the embassy demonstrates the level of commitment to the Ukraine.
4
REPLY"
75,"lovelessissimo
7 days ago
Diplomacy has failed. Again and again.
1
REPLY"
76,"Bexcellent2all
11 days ago
well at least he removed his clip on red nose and big floppy shoes for this update, makes it a LOT more believable.
REPLY"
77,"Abel G.Solorio
11 days ago
God bless joe Biden! And America!
1
REPLY"
78,"Freedom Of Speech
11 days ago
I am more concern about inflation.
7
REPLY"
79,"Mr S
11 days ago
Imagine giving a blind character oversight.
REPLY"
80,"kuma138
11 days ago
And by prevent he means “make sure it happens”
33
REPLY"
81,"Анастасия
11 days ago
First started, now uses every opportunity to prevent. Classic!
20
REPLY"
82,"Saburo
11 days ago
Bliken is what impotence looks like on the world stage
REPLY"
83,"Grady Sanders
10 days ago
Utter failure, as always with this administration
REPLY"
84,"Docsjeff 2020
11 days ago
Next…….they’ll put Hunter in charge of the NAVY!!!
REPLY"
85,"SPLXSH
10 days ago
bro why does russia always wanna target other states like ukrain and u.s
REPLY"
86,"Ms. Jones
11 days ago
It's their business not ours
12
REPLY"
87,"Rodney Peters
11 days ago
Your every opportunity should include contacting Donald Trump and let him handle decisively.
REPLY"
88,"David
11 days ago
Put Ukrainian troops alignment with Russian forces ask Putin to meet with NATO commanders in the field right between the two sides sit there looking in the faces of their troops NEGOTIATE
4
REPLY"
